Assembly,Location,CRE,AST phenotypes
GCA_002248585.1,Thailand: Bangkok,False,ceftriaxone=R
GCA_022299875.1,USA:Boston,False,"amikacin=S,amoxicillin-clavulanic acid=I,ampicillin=R,cefazolin=R,cefepime=S,cefoxitin=R,ceftazidime=R,ceftriaxone=R,ciprofloxacin=R,ertapenem=S,gentamicin=S,levofloxacin=R,meropenem=S,nitrofurantoin=R,piperacillin-tazobactam=R,tetracycline=I,tobramycin=S,trimethoprim-sulfamethoxazole=S"
GCA_022058365.1,USA: Houston,False,"ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=R"
GCA_045490175.1,Canada:Ontario,False,"amoxicillin-clavulanic acid=R,ampicillin=R,azithromycin=ND,cefoxitin=R,ceftriaxone=R,chloramphenicol=S,ciprofloxacin=I,colistin=ND,gentamicin=S,meropenem=S,nalidixic acid=S,sulfisoxazole=I,tetracycline=S,trimethoprim-sulfamethoxazole=S"
GCA_033870595.1,"Canada: Hamilton, Ontario",False,"amoxicillin-clavulanic acid=R,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R"
GCA_022284495.1,USA: Houston,False,"ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S"
GCA_019927505.1,USA: District of Columbia,False,"amikacin=S,ampicillin-sulbactam=S,ampicillin=R,aztreonam=S,cefazolin=S,cefepime=S,cefotaxime=S,cefotetan=S,cefoxitin=S,cefpodoxime=S,ceftazidime-avibactam=S,ceftazidime=S,ceftolozane-tazobactam=S,ceftriaxone=S,cefuroxime=S,cephalothin=S,ciprofloxacin=S,ertapenem=S,gentamicin=S,imipenem=S,levofloxacin=S,meropenem=S,moxifloxacin=S,nalidixic acid=S,nitrofurantoin=R,piperacillin-tazobactam=S,tetracycline=S,tigecycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=S"
GCA_014946925.1,Pakistan,False,"amikacin=S,ampicillin-sulbactam=R,ampicillin=R,aztreonam=I,cefazolin=R,cefepime=I,cefotaxime=R,cefoxitin=S,ceftazidime=R,ceftriaxone=R,chloramphenicol=S,ciprofloxacin=S,colistin=R,doripenem=S,ertapenem=I,gentamicin=S,imipenem=I,levofloxacin=S,meropenem=S,minocycline=S,piperacillin-tazobactam=R,polymyxin B=R,tetracycline=S,tigecycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=R"
GCA_019928565.1,USA: California,False,"amikacin=S,ampicillin-sulbactam=S,ampicillin=R,aztreonam=S,cefazolin=S,cefepime=S,cefotaxime=S,cefotetan=S,cefoxitin=S,cefpodoxime=S,ceftazidime-avibactam=S,ceftazidime=S,ceftolozane-tazobactam=S,ceftriaxone=S,cefuroxime=S,cephalothin=S,ciprofloxacin=S,ertapenem=S,gentamicin=S,imipenem=S,levofloxacin=S,meropenem=S,moxifloxacin=S,nalidixic acid=S,nitrofurantoin=R,piperacillin-tazobactam=S,tetracycline=S,tigecycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=S"
GCA_022078545.1,USA: Houston,False,"ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=R"
GCA_022789015.1,Norway,False,"amoxicillin-clavulanic acid=S,cefotaxime=S,ceftazidime=S,piperacillin-tazobactam=S"
GCA_053670875.1,USA: California,False,"amikacin=S,ampicillin-sulbactam=R,cefepime=S,ciprofloxacin=S,ertapenem=S,imipenem=S,levofloxacin=S,meropenem=S,tobramycin=S,trimethoprim-sulfamethoxazole=S"
GCA_023027985.1,Australia: Melbourne,False,"amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S"
